"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name"
963043.057548768,-0.226435616688101,0.518171513987889,-0.436989704326729,0.662118814716145,0.999938254913919,"ENSMUSG00000064351","mt-Co1"
324976.401320305,-0.0904049904219386,0.494250646728958,-0.182913246589065,0.854866088973644,0.999938254913919,"ENSMUSG00000064370","mt-Cytb"
231062.111002584,0.120308489313817,0.498442834640828,0.241368680523836,0.809269384560909,0.999938254913919,"ENSMUSG00000064341","mt-Nd1"
308616.048172187,0.40925308055358,0.594825221628381,0.688022406704977,NA,NA,"ENSMUSG00000064367","mt-Nd5"
185634.171108427,0.0664343917495441,0.49567637844801,0.134027754071223,0.893380627854893,0.999938254913919,"ENSMUSG00000064363","mt-Nd4"
219570.231022718,-0.0854776667128611,0.503779006642323,-0.169672943067969,0.865267353804949,0.999938254913919,"ENSMUSG00000064345","mt-Nd2"
373568.482222228,-0.292177065380796,0.90196776195193,-0.32393293608244,0.745988807888506,0.999938254913919,"ENSMUSG00000066108","Muc5b"
129.190565901275,-0.341090688131408,2.09316998331861,-0.162954127399929,NA,NA,"ENSMUSG00000024653","Scgb1a1"
240297.998079299,0.620688509733068,1.34072983011902,0.462948235945467,0.643401471375713,0.999938254913919,"ENSMUSG00000024768","Lipf"
236330.807068166,0.706434420170043,1.38943232550884,0.508433845391738,0.611149122139801,0.999938254913919,"ENSMUSG00000027485","Bpifb1"
79779.5064411519,0.00170813540296968,0.230467953051817,0.00741159619092739,0.994086455968632,0.999938254913919,"ENSMUSG00000037742","Eef1a1"
106412.118061858,0.231148485750434,0.494996127246009,0.466970291336352,0.640521133446367,0.999938254913919,"ENSMUSG00000064368","mt-Nd6"
22064.0728439806,-3.96763419105378,0.531977292500611,-7.45827734940252,8.76609962550796e-14,1.42566000242844e-10,"ENSMUSG00000021270","Hsp90aa1"
129675.114246589,0.112676423914029,0.544211795888692,0.207045170217286,0.835974581984226,0.999938254913919,"ENSMUSG00000031972","Acta1"
9020.12750798023,-0.331451648329474,0.273653692626044,-1.21120838951153,0.225815548226036,0.999938254913919,"ENSMUSG00000029580","Actb"
18522.9941781785,-6.43537671077074,1.30145474570216,-4.94475642124515,7.62391296178683e-07,0.000297576570724463,"ENSMUSG00000090877","Hspa1b"
28845.5065116418,-1.54144759748523,0.287951120106613,-5.35315715012504,8.64327210272026e-08,4.68561384324135e-05,"ENSMUSG00000015656","Hspa8"
115889.176978712,-0.599953905436102,1.41215327561143,-0.424850415176309,NA,NA,"ENSMUSG00000074264","Amy1"
65.2271266569452,3.1064888587337,4.09452751967899,0.758692875747785,0.448036299611529,0.999938254913919,"ENSMUSG00000027556","Car1"
102175.154311983,0.11944883301873,0.469860769204907,0.254221762801904,0.79932423849807,0.999938254913919,"ENSMUSG00000059668","Krt4"
38968.6596578877,0.114758466050615,0.40900907760864,0.280576819276422,0.779034997640705,0.999938254913919,"ENSMUSG00000034994","Eef2"
