"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name"
418.478057787844,2.51096271014364,0.283176162811882,149.468346571868,3.43125181716834e-32,3.34821552319286e-28,"ENSMUSG00000073643","Wdfy1"
7057.65219600006,-5.09219990639401,0.512818806977383,135.323104382884,3.85266954624756e-29,1.87971747161418e-25,"ENSMUSG00000029657","Hsph1"
724.024391930846,2.78159873879162,0.35370488782132,130.067257237414,5.23093501082418e-28,1.70144879452075e-24,"ENSMUSG00000058126","Tpm3-rs7"
186.951194018968,10.4545725946929,1.43676646213654,117.954125787945,2.12823622818364e-25,5.19183227865399e-22,"ENSMUSG00000022226","Mcpt2"
370.137756280563,-3.01517883937572,0.362944296227258,114.463660518406,1.20102337919283e-24,2.34391722683272e-21,"ENSMUSG00000055116","Arntl"
7379.01625070955,-2.40854928912633,0.352382042922562,92.804772002637,5.47055380673987e-20,8.89694400769462e-17,"ENSMUSG00000032518","Rpsa"
113.947634670428,-4.2123113009039,0.60239446618934,77.9588600171565,8.40986117563319e-17,1.17233464788327e-13,"ENSMUSG00000041453","Rpl21"
3121.79085442339,-3.91699312084555,0.563566888569944,75.4264818089794,2.93560118442368e-16,3.58069954470078e-13,"ENSMUSG00000061232","H2-K1"
22064.0728439806,-3.96763419105378,0.531977292500611,74.8942422810313,3.81744740176035e-16,4.13896130515306e-13,"ENSMUSG00000021270","Hsp90aa1"
1063.922342173,-2.09490785360837,0.349282600221693,54.4150670612701,9.15144991055074e-12,8.33365391678029e-09,"ENSMUSG00000019916","P4ha1"
464.49085650142,1.44487064559815,0.268663077176856,54.361725548,9.39436289040615e-12,8.33365391678029e-09,"ENSMUSG00000068742","Cry2"
500.936687225714,-1.82869909194951,0.354305701232748,51.649695255525,3.55682068538421e-11,2.89228802066493e-08,"ENSMUSG00000056749","Nfil3"
3102.96910958877,-3.08152281877144,0.515270876428961,49.1059061667423,1.23846391820923e-10,9.29610070298895e-08,"ENSMUSG00000028410","Dnaja1"
443.376134711931,-1.60509940691195,0.402503761845667,46.8246451528332,3.78729695245082e-10,2.63974597585822e-07,"ENSMUSG00000063253","Scoc"
28845.5065116418,-1.54144759748523,0.287951120106613,45.8791175100136,6.01725144041987e-10,3.91442263704114e-07,"ENSMUSG00000015656","Hspa8"
4468.4123338457,-15.2615108128819,1.99276553390087,45.3605505245319,7.75598355954867e-10,4.73018047337975e-07,"ENSMUSG00000057417","Dcpp3"
