"gene_id","gene_name","cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000089774","Slc5a3",4,1156.37966559964,-2.93742110950453,0.570164040627538,82.2842421643767,9.93086793901512e-18,8.74710848068452e-15
"ENSMUSG00000022564","Grina",5,1527.77026512658,1.05507966172259,0.325415673708957,60.6050490771645,4.36487455082081e-13,2.02346394966472e-10
"ENSMUSG00000022615","Tymp",5,214.938548488128,2.60671840619165,0.654797906779933,43.1634199393106,2.27202786394037e-09,7.41185978725435e-07
"ENSMUSG00000002944","Cd36",5,779.635171881791,0.258386063076082,0.709701781137447,42.0020696605167,4.00807128935536e-09,1.13880941666587e-06
"ENSMUSG00000064354","mt-Co2",3,49150.5162522555,-0.949137619180476,1.04551112700985,38.3131281953497,2.42630519964167e-08,6.28555770542466e-06
"ENSMUSG00000047501","Cldn4",5,1512.41960692705,0.0136301444471307,0.56249092365167,37.9578204096964,2.88519348599655e-08,6.99169486623883e-06
"ENSMUSG00000030173","Klra5",5,19.1493416429619,6.10388221027769,1.8041545010667,33.3841637611024,2.67239406130465e-07,5.60439211713604e-05
"ENSMUSG00000019278","Dpep1",5,2603.5494222582,0.535165237519502,0.392250410390516,33.1404579604006,3.008275007475e-07,6.02201960587269e-05
"ENSMUSG00000024029","Tff3",4,7382.99858573374,-0.757737404302114,0.591234999856842,32.7252534392367,3.68038391119193e-07,7.04713510647358e-05
"ENSMUSG00000028546","Elavl4",4,46.9973747626618,-2.40800163898784,1.05945710465572,32.6245211595417,3.86487152028765e-07,7.24293369163694e-05
"ENSMUSG00000024972","Lgals12",4,49.11141143737,-2.23173171808499,1.04487696980292,31.4369194231353,6.87746822014457e-07,0.000123626000169456
"ENSMUSG00000020407","Upp1",3,2026.32349822977,-0.949761143478038,0.681689720665161,31.2295639363547,7.60505225788637e-07,0.000133970600574926
"ENSMUSG00000027219","Slc28a2",5,1600.08001563709,2.06181937338976,1.13059704347609,30.9148847569204,8.8585831749098e-07,0.000152992942361972
"ENSMUSG00000001175","Calm1",5,24166.9966940784,0.589760972562776,0.422313453038807,30.3971087326876,1.13854154677244e-06,0.000192851421999455
"ENSMUSG00000050092","Sprr2b",4,21.1511097275245,0.635276591450578,1.31003723299107,29.2485756614768,1.98562553315014e-06,0.000306831398175201
"ENSMUSG00000021794","Glud1",5,5458.69845862344,0.523142233842704,0.411042235419395,29.1574807458164,2.07511997648216e-06,0.000315132012980257
"ENSMUSG00000020151","Ptprr",5,976.309276743707,1.61816643320445,0.60792934999916,29.084380597547,2.14983770915176e-06,0.000320945263427266
"ENSMUSG00000049130","C5ar1",4,47.2690795320381,-0.466524184946424,0.971979099214802,27.6825438614752,4.23418759219711e-06,0.000582730067376127
"ENSMUSG00000031960","Aars",3,1226.22784111359,-0.37225591358445,0.288761645500943,26.9483478697363,6.03598887367621e-06,0.000781838088225589
"ENSMUSG00000079659","Tmem243",5,905.773249696267,0.807310442355856,0.585733577929799,26.8289912788928,6.39392067058289e-06,0.000809823005364454
"ENSMUSG00000053070","Cfap300",4,16.7932700877055,-1.69647143571843,1.16058624164263,26.2004782164516,8.65864306218317e-06,0.00105924066794041
"ENSMUSG00000064357","mt-Atp6",3,11836.3079487082,-0.746331956722928,0.942950004290317,25.3131305860038,1.32793229095102e-05,0.00151399700948481
"ENSMUSG00000033022","Cdo1",4,257.978090913304,-1.62579475543783,0.575510628450491,25.2932123770117,1.3407330465465e-05,0.00151399700948481
"ENSMUSG00000031551","Ido1",5,283.253722134953,2.39487112651075,1.11855739597376,25.2489588609052,1.36961532325994e-05,0.0015270344009207
"ENSMUSG00000063317","Usp31",4,109.680499127399,-1.27148604779101,0.59477343217968,24.9791386271324,1.55963523496391e-05,0.00171715839369526
"ENSMUSG00000043154","Ppp2r3a",4,229.336084824334,0.0541412893505557,0.526660033470473,24.6765839799941,1.80412573242685e-05,0.00191454692183322
"ENSMUSG00000027333","Smox",4,219.33833625957,-0.616310614657892,0.53955127287398,24.3190927902377,2.14268221577761e-05,0.00216928102949071
"ENSMUSG00000037580","Gch1",3,341.814251359568,-1.04976217500126,0.442702456509866,24.2586057961798,2.20592836507865e-05,0.00220793375450145
"ENSMUSG00000064363","mt-Nd4",3,436414.880280584,-1.15197878657161,1.03495374483777,24.1493643049187,2.32490508255892e-05,0.00230087235586281
"ENSMUSG00000054027","Nt5dc3",4,111.107463421953,-1.11894397970166,0.579021014430204,23.9799237458076,2.52222229174213e-05,0.00246841488285163
"ENSMUSG00000019796","Lrp11",4,52.0607661307329,-2.79659676206458,1.07191553818885,23.6799825897043,2.9133073198189e-05,0.00272983094393243
"ENSMUSG00000025497","Cdhr5",5,10672.2524142426,0.934952553089166,0.356685257891693,23.5787826303964,3.05845285387732e-05,0.00283566870915278
"ENSMUSG00000015437","Gzmb",5,264.377158315943,2.72303221621768,1.04275970450847,23.4803282064854,3.20657301166752e-05,0.00294203073820495
