"gene_id","gene_name","lfc_db_wt","padj_db_wt","lfc_trt_db","padj_trt_db","lfc_trt_wt","padj_trt_wt","rescue_score"
"ENSMUSG00000026023","Cdk15",0.670238624048892,0.750644196539436,-3.35026055237787,0.135946864688369,-2.68002192832897,0.310048722157083,4.99860860321514
"ENSMUSG00000026387","Sctr",1.4750822653798,0.76075581280904,-7.32239919289685,0.135946864688369,-5.84731692751705,0.307818913254143,4.96406157456683
"ENSMUSG00000041202","Pla2g2d",0.549672511486833,0.667890567422169,-2.56162183668622,0.0388279061505932,-2.01194932519938,0.158259946124297,4.66026912962625
"ENSMUSG00000038729","Akap2",0.804097920531816,0.747121127004105,-3.70486738996554,0.148617917717325,-2.90076946943373,0.334878377245961,4.60748286417058
"ENSMUSG00000033579","Fa2h",0.50505280593707,0.776112390634603,-2.26538406855218,0.207653204000829,-1.76033126261511,0.408151743069228,4.48544002116572
"ENSMUSG00000040649","Rimklb",0.626642890448978,0.576305906089131,-2.76517629323757,0.0130297839294106,-2.13853340278859,0.0951933312239336,4.41268278214466
"ENSMUSG00000044201","Cdc25c",-0.62496055533402,0.820607252113936,2.70847325810375,0.307899951294909,2.08351270276973,0.4933059426689,4.33383072737473
"ENSMUSG00000035373","Ccl7",0.513591386646554,0.683178344440718,-2.18004486846083,0.0771481852320149,-1.66645348181428,0.248087995288792,4.24470683337434
"ENSMUSG00000056987","Fam71d",1.5352084544021,0.391052778353241,-6.48877471818108,0.00272470916527424,-4.95356626377898,0.0448748520743474,4.22664081843412
"ENSMUSG00000043366","Olfr78",1.70282353742293,0.312485677271882,-7.15935564076276,0.000573007507005177,-5.45653210333983,0.0199979702966475,4.20440256046601
"ENSMUSG00000063767","S100a7a",0.515742685498061,0.781264497492911,-2.12559219476375,0.262354008043729,-1.60984950926569,0.479489536004901,4.12141995326804
"ENSMUSG00000046056","Sbsn",1.36198680079733,0.315152434173545,-5.60502304787466,3.86083035447913e-05,-4.24303624707733,0.00484356330913652,4.11532846323722
"ENSMUSG00000054162","Spock3",1.04206688785653,0.677498326438079,-4.25361869654197,0.105299523557792,-3.21155180868544,0.301048348869551,4.08190563015721
"ENSMUSG00000018727","Cpsf4l",0.627442734697048,0.758987298867804,-2.48710244933655,0.240421661699315,-1.8596597146395,0.467135524055879,3.96387162015257
"ENSMUSG00000017002","Slpi",0.54040881631676,0.556562189514192,-2.11100232942309,0.0157519415357298,-1.57059351310633,0.119481607320345,3.90630623647289
"ENSMUSG00000022483","Col2a1",2.18641061579499,0.681122525050373,-8.53049648609428,0.112517024302611,-6.34408587029929,0.318170249216276,3.90159854899559
"ENSMUSG00000055421","Pcdh9",0.885782662272745,0.591045278977192,-3.43825324853948,0.040342685109881,-2.55247058626674,0.193162140873353,3.8815991721012
"ENSMUSG00000051279","Gdf6",-0.656113789588622,0.598211692544364,2.53067947819761,0.0281878454112924,1.87456568860899,0.147366440410299,3.85707405994976
"ENSMUSG00000031561","Tenm3",0.967006146058688,0.468864195113047,-3.71348942768879,0.00572184193022341,-2.7464832816301,0.0770837877909485,3.84019216715859
"ENSMUSG00000068699","Flnc",0.923933911139029,0.143436111311049,-3.54494910113019,2.93286858660483e-09,-2.62101518999116,3.88242086405495e-05,3.83679942730965
"ENSMUSG00000004098","Col5a3",0.902899283109826,0.0305415581825079,-3.46159490717176,1.25981736548418e-15,-2.55869562406193,1.95832119525738e-08,3.83386604898954
"ENSMUSG00000041324","Inhba",0.725102486145097,NA,-2.74281275968896,NA,-2.01771027354386,NA,3.78265529645434
"ENSMUSG00000022878","Adipoq",1.24966133593847,0.718900484842357,-4.52281567246239,0.190365531672622,-3.27315433652392,0.428578484719809,3.61923310131528
"ENSMUSG00000113262","Gm48551",0.95980309479732,0.496954120839768,-3.44186849756512,0.0158410739389143,-2.4820654027678,0.136574485968133,3.58601521105945
"ENSMUSG00000006218","Fam131c",0.503779671624049,0.752798946178202,-1.80455761879707,0.276153312506779,-1.30077794717302,0.519214455008546,3.58203738745485
"ENSMUSG00000051703","Tmem198",0.570406083120071,0.628839827400764,-2.03324596346372,0.0852997151992203,-1.46283988034365,0.299311635790124,3.56455869534568
"ENSMUSG00000072601","Ear1",-0.662181900493076,0.404764430008091,2.35955190282847,0.00160658861578056,1.69737000233539,0.045712463611257,3.56329869643295
"ENSMUSG00000064177","Ghrl",0.694354656248447,0.702734277249037,-2.43116488017504,0.19351101818757,-1.73681022392659,0.443395823019039,3.5013301319393
"ENSMUSG00000073412","Lst1",1.0032542444259,0.34053067133337,-3.51000563009672,0.00058976404918909,-2.50675138567082,0.0315525854644119,3.4986202646023
"ENSMUSG00000062309","Rpp25",1.44882413586789,0.323226319126519,-5.02078546404266,0.00181577321740134,-3.57196132817477,0.0548429477866194,3.46542091600031
"ENSMUSG00000020062","Slc5a8",1.25604811409265,0.381948902122596,-4.33765757572438,0.00509477090155683,-3.08160946163173,0.0888104930031774,3.45341673384689
"ENSMUSG00000030683","Sez6l2",0.686651584973242,0.480600240328588,-2.35841768441113,0.0189190064154088,-1.67176609943789,0.15794785816818,3.43466429849286
