"gene_id","gene_name","lfc_db_wt","padj_db_wt","lfc_trt_db","padj_trt_db","lfc_trt_wt","padj_trt_wt","rescue_pct","rescue_type"
"ENSMUSG00000064351","mt-Co1",0.840911368726532,0.0130994181810425,-1.45564912528409,2.0243049141432e-05,-0.61473775655756,0.145330431393284,1.7310375140825,"Complete Rescue"
"ENSMUSG00000064370","mt-Cytb",0.967251602313675,0.060913119996706,-2.02894856818847,7.45011400316179e-05,-1.0616969658748,0.0826335319723329,2.09764301587633,"Other"
"ENSMUSG00000064341","mt-Nd1",1.31612810702902,0.00538656195149442,-2.23522804793365,2.56003881525757e-06,-0.919099940904626,0.117182776336662,1.69833623033807,"Complete Rescue"
"ENSMUSG00000064367","mt-Nd5",0.136656664729635,0.835060049390943,-1.47985114421228,0.0110203889737353,-1.34319447948264,0.036971517280306,10.8289716212528,"Other"
"ENSMUSG00000064363","mt-Nd4",0.939239772149758,0.228505451978869,-2.12949969323446,0.00568238229248449,-1.1902599210847,0.201972977324066,2.26725885804474,"Other"
"ENSMUSG00000064345","mt-Nd2",0.952292741252169,0.0879263535318329,-2.13209878778562,0.000105847000717396,-1.17980604653345,0.0698112333391068,2.23891109889394,"Other"
"ENSMUSG00000066108","Muc5b",1.35418849205614,0.0110704860266409,-1.36558287334186,0.0167434504100591,-0.0113943812857192,0.991012444607905,1.00841417672101,"Complete Rescue"
"ENSMUSG00000024653","Scgb1a1",1.69004635020439,0.0451258539446321,-1.6533091141215,0.0733859701674109,0.0367372360828867,0.983130497324375,0.978262586657196,"Other"
"ENSMUSG00000024768","Lipf",-3.39038891779134,0.00507136944484546,3.32585193756895,0.00965149223760043,-0.0645369802223903,0.971050190850921,0.980964726529241,"Complete Rescue"
"ENSMUSG00000027485","Bpifb1",1.39491990777299,0.324551202402386,-3.39248841227581,0.0152480308743441,-1.99756850450283,0.237785429899759,2.43203096706245,"Other"
"ENSMUSG00000037742","Eef1a1",-1.14991995001358,3.4161340652449e-06,1.25636176893108,8.86165325261305e-07,0.106441818917498,0.801890531247821,1.09256454670279,"Complete Rescue"
"ENSMUSG00000022097","Sftpc",1.0945232184402,0.00384979384679095,-0.625843136369037,0.153334235601677,0.468680082071163,0.364634091902604,0.571795212586649,"Other"
"ENSMUSG00000064368","mt-Nd6",0.975513096530562,0.0530345866141511,-2.2500169535333,5.80325635629824e-06,-1.27450385700274,0.0266466655272091,2.30649589588858,"Other"
"ENSMUSG00000021270","Hsp90aa1",-4.20337318856386,1.5833558723262e-38,-0.0153692544513191,0.980155711843436,-4.21874244301518,1.60124280628323e-38,-0.00365640968856496,"Other"
"ENSMUSG00000031972","Acta1",11.3777822938365,NA,-11.0518851658506,NA,0.325897127985986,NA,0.971356709104687,"Other"
"ENSMUSG00000029580","Actb",0.557616589717222,0.0990660767854177,-0.80386389328128,0.0227468202268586,-0.246247303564059,0.61799526540503,1.44160684618249,"Other"
"ENSMUSG00000090877","Hspa1b",-11.1201356631811,NA,-1.72919635005856,NA,-12.8493320132396,NA,-0.155501371784874,"Other"
"ENSMUSG00000015656","Hspa8",-3.40611736634265,1.099944994581e-38,0.0708163085988866,0.865465825636553,-3.33530105774376,7.59005520276968e-37,0.0207909185099298,"Other"
"ENSMUSG00000074264","Amy1",0.656565085807325,0.406443021764836,-2.11652252079959,0.00557892976854768,-1.45995743499226,0.10150085899239,3.22362941093201,"Other"
"ENSMUSG00000027556","Car1",-2.17675692067247,0.0737589755092807,0.50357731754576,0.765276719496456,-1.67317960312671,0.276380451545582,0.231342927068857,"Other"
"ENSMUSG00000034994","Eef2",-0.592279858917609,0.00650294352797161,1.01649693703513,3.30568105756177e-06,0.424217078117524,0.115023261583266,1.71624430871713,"Complete Rescue"
"ENSMUSG00000023944","Hsp90ab1",-1.81833321445496,4.78408753751525e-12,-0.129217389131426,0.735601375493675,-1.94755060358639,6.20731136974654e-13,-0.071063646698088,"Other"
"ENSMUSG00000044041","Krt13",9.35193362490274,NA,-7.85949593635799,NA,1.49243768854475,NA,0.840413999028969,"Other"
"ENSMUSG00000024661","Fth1",0.250735383052242,0.506026614553165,0.118527035695828,0.806102550619762,0.36926241874807,0.432250026141754,-0.472717628652883,"Other"
"ENSMUSG00000060126","Tpt1",0.224146361473761,0.450891906240185,-0.39332384770565,0.210313451322642,-0.169177486231889,0.687289954522338,1.75476347293593,"Other"
"ENSMUSG00000026879","Gsn",0.0664075147957708,0.827797428641085,-0.129182882335115,0.709946029963079,-0.0627753675393439,0.890199364678538,1.94530517716862,"Other"
"ENSMUSG00000069516","Lyz2",-1.95187991110968,3.72399174436848e-08,1.58850942839063,2.14978140039881e-05,-0.363370482719046,0.493083703998394,0.813835635762824,"Complete Rescue"
